"ObsWell","User","LevelDescription","DateAppliedUtc","EndTime","LastGrade","AgeApprovedDat_Months","AgeGradeDat_Months","AgeApprovedDat_Days","AgeGradeDat_Days","ReportDate"
"OW329","GRHENDER","Approved","2026-01-29T00:57:14.6011027Z",2026-01-12 19:46:00,2026-01-12,1.4,1.4,42.8,43.7,2026-02-25
"OW402","GRHENDER","Approved","2026-01-30T20:56:02.750097Z",2025-11-21 19:34:00,2025-11-21,3.1,3.1,94.9,95.7,2026-02-25
"OW387","GRHENDER","Approved","2026-01-27T22:21:02.4815474Z",2025-11-13 19:15:00,2025-11-13,3.4,3.4,102.9,103.7,2026-02-25
"OW420","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-21T18:10:11.4997765Z",2025-06-11 19:00:00,2025-06-11,8.5,8.5,257.9,258.7,2026-02-25
"OW454","GRHENDER","Approved","2026-01-27T23:33:28.3813171Z",2025-11-21 20:43:00,2025-11-21,3.1,3.1,94.8,95.7,2026-02-25
"OW314","GRHENDER","Approved","2025-12-04T23:58:49.7041593Z",2025-08-19 19:00:00,2026-02-06,6.2,0.6,188.9,18.7,2026-02-25
"OW489","GRHENDER","Approved","2026-01-29T17:58:58.645001Z",2026-01-16 12:31:00,2026-01-16,1.3,1.3,39.1,39.7,2026-02-25
"OW352","Lindsay.Eenkooren@gov.bc.ca","Approved","2024-05-23T15:15:54.0595638Z",2024-05-03 07:00:00,2024-05-03,21.8,21.8,662.4,662.7,2026-02-25
"OW475","GRHENDER","Approved","2026-01-27T23:50:18.789359Z",2025-12-31 19:17:00,2025-12-31,1.8,1.8,54.9,55.7,2026-02-25
"OW441","Caroline.Wisheart@gov.bc.ca","Approved","2025-08-06T23:13:41.0524381Z",2025-07-10 16:00:00,2026-02-12,7.5,0.4,229,12.7,2026-02-25
"OW369","GRHENDER","Approved","2025-12-05T23:24:33.9718165Z",2025-11-21 09:28:00,2025-11-21,3.1,3.1,95.3,95.7,2026-02-25
"OW493","GRHENDER","Approved","2026-01-29T17:57:11.5044284Z",2026-01-16 12:06:00,2026-01-16,1.3,1.3,39.2,39.7,2026-02-25
"OW378","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T00:56:32.1953413Z",2025-11-18 18:28:00,2025-11-18,3.2,3.2,97.9,98.7,2026-02-25
"OW476","GRHENDER","Approved","2026-01-27T23:57:20.0252222Z",2025-12-31 18:20:00,2025-12-31,1.8,1.8,54.9,55.7,2026-02-25
"OW477","GRHENDER","Approved","2026-01-27T23:59:37.9836275Z",2025-11-21 18:20:00,2025-11-21,3.1,3.1,94.9,95.7,2026-02-25
"OW388","GRHENDER","Approved","2025-12-05T23:14:04.4576924Z",2025-11-18 18:00:00,2025-11-18,3.2,3.2,97.9,98.7,2026-02-25
"OW448","GRHENDER","Approved","2026-01-13T23:14:48.2989941Z",2025-08-20 18:00:00,2025-08-20,6.2,6.2,188,188.7,2026-02-25
"OW451","GRHENDER","Approved","2026-01-30T21:42:25.384874Z",2026-01-27 17:00:00,2026-01-27,0.9,0.9,28,28.7,2026-02-25
"OW470","GRHENDER","Approved","2026-01-30T21:51:49.4243397Z",2026-01-16 13:49:00,2026-01-16,1.3,1.3,39.1,39.7,2026-02-25
"OW484","GRHENDER","Approved","2026-01-26T22:22:07.7017385Z",2025-12-04 21:12:00,2025-12-04,2.7,2.7,81.8,82.7,2026-02-25
"OW428","GRHENDER","Approved","2026-01-26T22:03:40.8319665Z",2025-11-28 11:52:00,2025-11-28,2.9,2.9,88.2,88.7,2026-02-25
"OW316","BRJACKSO","Approved","2026-01-27T16:14:04.9496602Z",2026-01-06 17:46:00,2026-01-06,1.6,1.6,48.9,49.7,2026-02-25
"OW438","GRHENDER","Approved","2025-07-28T23:07:22.0410962Z",2025-07-15 08:15:00,2025-07-15,7.4,7.4,224.4,224.7,2026-02-25
"OW446","Lindsay.Eenkooren@gov.bc.ca","Approved","2025-01-07T16:09:11.0597247Z",2024-11-14 19:00:00,2026-02-12,15.3,0.4,466.9,12.7,2026-02-25
"OW456","GRHENDER","Approved","2026-01-30T00:14:41.1764879Z",2026-01-26 23:47:00,2026-01-26,0.9,1,28.7,29.7,2026-02-25
"OW429","GRHENDER","Approved","2026-01-26T21:57:18.374624Z",2025-11-28 11:57:00,2025-11-28,2.9,2.9,88.2,88.7,2026-02-25
"OW432","GRHENDER","Approved","2026-01-26T20:47:44.6956029Z",2025-11-18 20:27:00,2025-11-18,3.2,3.2,97.8,98.7,2026-02-25
"OW423","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-17T23:05:15.4244656Z",2025-09-23 12:00:00,2025-09-23,5.1,5.1,154.2,154.7,2026-02-25
"OW492","GRHENDER","Approved","2026-01-29T23:32:34.996213Z",2026-01-27 20:08:00,2026-01-27,0.9,0.9,27.8,28.7,2026-02-25
"OW418","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-21T18:01:00.9718796Z",2025-06-11 15:00:00,2025-06-11,8.5,8.5,258.1,258.7,2026-02-25
"OW455","GRHENDER","Approved","2026-01-16T22:40:39.4605239Z",2025-11-14 20:01:00,2025-11-14,3.3,3.4,101.8,102.7,2026-02-25
"OW424","GRHENDER","Approved","2026-01-29T00:51:43.5309953Z",2026-01-12 22:47:00,2026-01-12,1.4,1.4,42.7,43.7,2026-02-25
"OW457","GRHENDER","Approved","2026-01-16T23:13:12.270598Z",2025-11-14 17:24:00,2025-11-14,3.3,3.4,101.9,102.7,2026-02-25
"OW479","GRHENDER","Approved","2026-01-30T21:25:53.4302372Z",2025-08-21 21:16:00,2025-08-21,6.1,6.2,186.8,187.7,2026-02-25
"OW434","GRHENDER","Approved","2026-01-26T23:10:35.0674387Z",2025-12-16 12:22:00,2025-12-16,2.3,2.3,70.2,70.7,2026-02-25
"OW462","GRHENDER","Approved","2026-01-30T21:23:07.9327952Z",2025-08-28 17:09:00,2025-08-28,5.9,5.9,180,180.7,2026-02-25
"OW480","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-02T22:24:41.2888488Z",2025-05-14 08:00:00,2025-05-14,9.4,9.4,286.4,286.7,2026-02-25
"OW452","GRHENDER","Approved","2026-01-14T20:10:41.4369023Z",2025-08-12 19:00:00,2025-08-12,6.4,6.5,195.9,196.7,2026-02-25
"OW499","GRHENDER","Approved","2026-01-28T00:16:25.9389238Z",2026-01-06 22:41:00,2026-01-06,1.6,1.6,48.7,49.7,2026-02-25
"OW508","GRHENDER","Approved","2026-01-16T21:49:13.3929395Z",2025-11-12 21:03:00,2025-11-12,3.4,3.4,103.8,104.7,2026-02-25
"OW516","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T18:45:17.5968221Z",2025-11-14 19:16:00,2025-11-14,3.3,3.4,101.9,102.7,2026-02-25
"OW381","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T22:30:47.4381416Z",2025-10-29 12:00:00,2025-10-29,3.9,3.9,118.2,118.7,2026-02-25
"OW497","GRHENDER","Approved","2026-01-28T00:05:50.8530085Z",2026-01-05 17:07:00,2026-01-05,1.6,1.7,50,50.7,2026-02-25
"OW458","GRHENDER","Approved","2026-01-16T18:32:01.700651Z",2025-11-10 18:40:00,2025-11-10,3.5,3.5,105.9,106.7,2026-02-25
"OW498","GRHENDER","Approved","2026-01-28T00:09:58.5527172Z",2026-01-05 17:52:00,2026-01-05,1.6,1.7,49.9,50.7,2026-02-25
"OW459","BRJACKSO","Approved","2026-02-03T22:45:32.9427103Z",2025-08-20 20:00:00,2025-08-20,6.2,6.2,187.9,188.7,2026-02-25
"OW494","GRHENDER","Approved","2026-01-27T22:33:30.0954383Z",2025-11-12 23:57:00,2026-02-03,3.4,0.7,103.7,21.7,2026-02-25
"OW426","GRHENDER","Approved","2026-01-29T19:29:55.0278437Z",2026-01-19 14:00:00,2026-01-19,1.2,1.2,36.1,36.7,2026-02-25
"OW435","GRHENDER","Approved","2026-01-28T00:51:10.8383595Z",2026-01-09 22:15:00,2026-01-09,1.5,1.5,45.7,46.7,2026-02-25
"OW128","GRHENDER","Approved","2026-01-26T22:52:52.7476586Z",2025-12-04 15:53:00,2025-12-04,2.7,2.7,82,82.7,2026-02-25
"OW430","GRHENDER","Approved","2026-01-26T21:47:56.4627115Z",2025-11-28 14:12:00,2025-11-28,2.9,2.9,88.1,88.7,2026-02-25
"OW483","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-02T23:17:10.5874001Z",2025-05-06 18:00:00,2025-05-06,9.7,9.7,294,294.7,2026-02-25
"OW431","GRHENDER","Approved","2026-01-26T21:38:50.0027054Z",2025-11-28 14:19:00,2025-11-28,2.9,2.9,88.1,88.7,2026-02-25
"OW486","GRHENDER","Approved","2026-01-30T21:33:40.149159Z",2025-12-11 18:00:00,2025-12-11,2.5,2.5,74.9,75.7,2026-02-25
"OW440","GRHENDER","Approved","2026-01-16T18:18:56.0470536Z",2025-11-10 19:35:00,2025-11-10,3.5,3.5,105.9,106.7,2026-02-25
"OW444","GRHENDER","Approved","2026-01-28T19:26:26.5542614Z",2025-11-27 19:54:00,2025-11-27,2.9,2.9,88.8,89.7,2026-02-25
"OW491","GRHENDER","Approved","2026-01-30T21:37:45.4116842Z",2025-08-21 20:23:00,2025-08-21,6.1,6.2,186.9,187.7,2026-02-25
"OW495","GRHENDER","Approved","2026-01-16T23:55:38.1298087Z",2025-11-17 10:53:00,2025-11-17,3.3,3.3,99.2,99.7,2026-02-25
"OW487","GRHENDER","Approved","2026-01-30T20:20:53.2042684Z",2025-12-11 20:50:00,2025-12-11,2.5,2.5,74.8,75.7,2026-02-25
"OW447","GRHENDER","Approved","2026-01-29T21:50:31.1303115Z",2026-01-26 11:40:00,2026-01-26,1,1,29.2,29.7,2026-02-25
"OW450","GRHENDER","Approved","2026-01-30T00:00:41.8896369Z",2026-01-27 18:32:00,2026-01-27,0.9,0.9,27.9,28.7,2026-02-25
"OW467","GRHENDER","Approved","2026-01-28T19:37:37.6073207Z",2025-11-21 21:09:00,2025-11-21,3.1,3.1,94.8,95.7,2026-02-25
"OW468","GRHENDER","Approved","2026-01-28T19:43:43.915702Z",2025-11-25 23:05:00,2025-11-26,3,3,90.7,90.7,2026-02-25
"OW490","GRHENDER","Approved","2026-01-15T23:51:16.8235128Z",2025-08-29 11:00:00,2025-08-29,5.9,5.9,179.2,179.7,2026-02-25
"OW509","GRHENDER","Approved","2026-01-28T19:53:43.2550497Z",2025-11-26 18:42:00,2025-11-26,3,3,89.9,90.7,2026-02-25
"OW512","GRHENDER","Approved","2026-01-16T00:47:28.5970392Z",2025-11-06 19:42:00,2025-11-06,3.6,3.6,109.8,110.7,2026-02-25
"OW515","BRJACKSO","Approved","2026-01-29T17:09:37.8084332Z",2025-11-18 20:47:00,2025-11-18,3.2,3.2,97.8,98.7,2026-02-25
"OW437","BRJACKSO","Approved","2026-01-27T16:41:52.8028784Z",2026-01-21 09:27:00,2026-01-21,1.1,1.1,34.3,34.7,2026-02-25
"OW488","GRHENDER","Approved","2026-01-30T21:48:06.7834784Z",2026-01-16 13:13:00,2026-01-16,1.3,1.3,39.1,39.7,2026-02-25
"SOGPA_GW","Max.Goetz@gov.bc.ca","Approved","2025-04-14T15:16:45.161436Z",2025-04-09 17:00:00,2025-11-06,10.5,3.6,321,110.7,2026-02-25
"OW523","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-29T02:04:20.1084704Z",2025-06-09 12:30:00,2025-06-09,8.5,8.6,260.2,260.7,2026-02-25
"OW520","GRHENDER","Approved","2026-01-16T00:23:10.2358463Z",2025-11-04 22:00:00,2025-11-04,3.7,3.7,111.8,112.7,2026-02-25
"OW474","GRHENDER","Approved","2026-01-15T23:20:19.3055023Z",2025-08-21 09:04:00,2025-08-21,6.2,6.2,187.3,187.7,2026-02-25
"OW481","BRJACKSO","Approved","2025-01-30T21:58:54.400604Z",2024-12-06 13:00:00,2024-12-06,14.6,14.6,445.1,445.7,2026-02-25
"MW367","GRHENDER","Approved","2025-07-24T18:06:52.4180019Z",2025-04-28 13:00:00,2025-11-19,9.9,3.2,302.2,97.7,2026-02-25
"OW521","BRJACKSO","Approved","2026-01-26T21:48:07.9729754Z",2025-11-25 09:21:00,2025-11-25,3,3,91.3,91.7,2026-02-25
"MW21112","NaN","NaN","NaN",NA,2023-08-11,NA,30.5,NA,928.7,2026-02-25
"LLC-VOW-12","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"MW21113D","NaN","NaN","NaN",NA,2024-04-04,NA,22.7,NA,691.7,2026-02-25
"MW21113S","NaN","NaN","NaN",NA,2024-10-04,NA,16.7,NA,508.7,2026-02-25
"OW461","Caroline.Wisheart@gov.bc.ca","Approved","2025-07-30T22:51:54.5651342Z",2025-02-13 13:00:00,NA,12.4,NA,376.1,NA,2026-02-25
"OW065","BRJACKSO","Approved","2025-07-15T20:29:05.4082793Z",2021-04-28,NA,57.9,NA,1763.7,NA,2026-02-25
"LLC-VOW-14","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-18","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-19","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-20","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-21","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-22","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-23","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-24","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-25","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-28","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-29","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-30","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-02","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-33","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-35","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-01","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-03","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-09","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-10","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-11","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,2026-02-25
"LLC-VOW-05","NaN","NaN","NaN",NA,2022-07-27,NA,43,NA,1308.7,2026-02-25
